### wrong loop 問題を考慮

one iron,cd,sand
two v,a,door
three clover,squ,triface,fly,fly
four bullet,door,back,anemone
five fly,squ,v,sand
six anemone,banner,a
seven clover,rectface,mag,rectface,para
eight fly,banner,bullet,squ,clover
many cd,chicken,iron,flag
first squ,xrect,clover,v,back
next para,rectface,flag,v
last wifi,chicken,anemone,clover
tool v,door,door,cd
together a,anemone,xrect,banner,a,wifi,banner,back
material para,three,back,bullet,clover,xrect,three,iron
container bullet,anemone,triface,a,fly,cd,triface,banner,back
time clover,banner,cd,fly
liquor para,wifi,clover,a,triface,v
cooking fly,grave,grave,cd,xrect,door,banner
mirror door,wifi,v,v,triface,v
photo triface,slash,grave,back,grave
book chicken,iron,iron,slash
forget bullet,door,anemone,squ,rectface,v
want a,wani,para,v
remember clover,bullet,para,bullet,para,sand,bullet,clover
think v,banner,slash,para,wifi
ok triface,iron
ok cd,banner
but chicken,clover,anemone
no wifi,cd
danger sand,chicken,iron,bullet,fly,triface
warm mag,chicken,triface,cd
plant grave,cd,wani,para,v
flower squ,iron,grave,flag,bullet,clover
punish anemone,a,grave,wifi,back,xrect
give rectface,squ,v,sand
red door,three,wani
blue chicken,xrect,clover,sand 
green bullet,triface,fly,fly,iron
food fly,iron,iron,three
drink sand,triface,banner,iron,xrect
see a,slash,slash
this clover,squ,banner,anemone
some anemone,para,cd,fly
water a,wani,v,rectface,anemone
month iron,door,para,v,banner
human squ,v,cd,chicken,iron
blood wani,wifi,para,para,sand
bone chicken,iron,cd,sand
alone chicken,wifi,para,iron,fly
word a,door,anemone,fly
means cd,fly,chicken,iron,anemone
record anemone,rectface,sand,door,anemone,fly
temple v,rectface,iron,grave,cd,rectface
now iron,para,mag
morning door,triface,v,grave,wifi,grave,slash
evening bullet,a,bullet,door,xrect,door,banner
night iron,banner,bullet,squ,clover
do chicken,wifi
research clover,bullet,v,bullet,three,clover,fly,slash
failure bullet,wani,slash,cd,revface,anemone,rectface
success back,a,rectface,rectface,squ,back,back
perfect triface,bullet,clover,squ,bullet,fly,back
tell clover,fly,wifi,wifi
protect clover,back,anemone,a,banner,bullet,a
disap sand,banner,anemone,chicken,door
go fly,cd
touch v,door,revface,sand,banner
look wifi,para,para,xrect
meet wifi,sand,sand,anemone
start v,revface,three,clover,revface
hide v,back,grave,triface
stop v,back,grave,triface
hope bullet,iron,para,sand
wait mag,chicken,banner,clover
compare sand,door,iron,grave,wani,anemone,rectface
sleep anemone,wifi,fly,fly,door
goodnight xrect,anemone,anemone,squ,triface,cd,xrect,wifi,a
thanks back,slash,three,door,cd,v
hello squ,fly,wifi,wifi,para
small anemone,cd,chicken,wifi,wifi
usual mag,v,mag,three,iron
life slash,bullet,sand,three
body wani,para,sand,flag
flame fly,xrect,flag,wifi,sand
break chicken,grave,sand,flag,slash
yellow three,squ,para,para,triface,chicken
name wifi,a,xrect,three
again a,fly,a,bullet,wifi
meat wifi,sand,flag,anemone
day wani,a,mag
chair wani,bullet,flag,squ,grave
death three,sand,flag,anemone,bullet
war revface,flag,grave
head fly,wani,mag,chicken
memory door,squ,door,triface,v,three
alchemy wani,cd,sand,banner,rectface,iron,chicken
today v,door,fly,wani,chicken
understan chicken,anemone,banner,slash,mag,a,flag,rectface,anemone
sorry mag,anemone,back,back,sand
happy banner,wani,grave,grave,chicken
lonely iron,grave,door,bullet,iron,wani
war revface,flag,grave
clothes fly,iron,grave,revface,slash,bullet,v
love wifi,para,revface,fly
house banner,door,revface,clover,rectface
tomorrow wani,back,clover,back,flag,flag,back,fly
